beginShape
31,11
31,12
31,13
31,14
31,15
31,16
31,17
31,18
31,19
31,20
31,21
31,22
31,23
32,24
32,25
32,26
32,27
32,28
32,29
32,30
32,31
32,32
32,33
32,34
32,35
32,36
32,37
32,38
32,39
32,40
32,41
32,42
32,43
32,44
32,45
32,46
32,47
32,48
33,49
33,50
33,51
33,52
34,53
34,54
34,55
34,56
33,57
33,58
34,58
35,58
35,57
36,56
37,56
37,55
36,55
35,54
35,53
35,52
36,51
36,50
36,49
37,48
37,47
37,46
37,45
37,44
37,43
37,42
37,41
37,40
38,39
38,38
38,37
38,36
38,35
38,34
38,33
38,32
38,31
37,30
37,29
37,28
37,27
37,26
38,25
38,24
38,23
38,22
38,21
39,20
39,19
39,18
39,17
39,16
39,15
39,14
39,13
38,12
37,12
36,11
35,11
34,11
33,12
32,11
beginContour
endContour
endShape
